,latitude,longitude,PRIX_m2,date_mutation,valeur_fonciere,SURF
77,41.919905,8.728164,2503.841229193342,2017-01-24,195550.0,78.1
78,42.203263,8.83096,7.407407407407407,2017-01-23,1000.0,135.0
79,41.542485,9.265054,158.12431842966194,2017-01-18,145000.0,917.0
80,,,74.58305537024683,2017-01-12,559000.0,7495.0
81,41.926489,8.725546,1000.0,2017-01-05,40000.0,40.0
82,41.572724,9.18694,1.1074197120708749,2017-01-16,10000.0,9030.0
83,41.571538,9.188117,0.9852216748768472,2017-01-16,10000.0,10150.0
84,41.932892,8.739306,2598.886191632157,2017-01-09,182000.0,70.03
85,42.34885,8.611456,420.5607476635514,2017-01-05,45000.0,107.0
86,41.9705,8.764183,2857.1428571428573,2017-01-05,200000.0,70.0
87,41.647751,9.27386,13.025679196129513,2017-01-01,70000.0,5374.0
88,41.64848,9.27322,120.6896551724138,2017-01-01,70000.0,580.0
89,41.938785,8.739195,4111.490329920363,2017-01-06,180700.0,43.95
90,41.844746,8.793106,302.07394048692515,2017-01-06,335000.0,1109.0
91,41.938785,8.739195,4379.166666666667,2017-01-06,315300.0,72.0
92,41.669673,9.145744,185.52631578947367,2017-01-24,28200.0,152.0
93,41.397417,9.171078,140.40404040404042,2017-01-25,139000.0,990.0
94,41.397169,9.171342,747.3118279569892,2017-01-25,139000.0,186.0
95,41.397317,9.171309,133.01435406698565,2017-01-25,139000.0,1045.0
96,41.950549,8.793383,2970.1492537313434,2017-01-02,199000.0,67.0
97,41.589117,9.275857,860.0,2017-01-09,430000.0,500.0
98,41.589179,9.275666,4831.460674157303,2017-01-09,430000.0,89.0
99,41.478667,9.114969,80.76923076923077,2017-01-19,52500.0,650.0
100,41.478557,9.11401,21.67630057803468,2017-01-19,52500.0,2422.0
101,41.478593,9.114597,31.26861226920786,2017-01-19,52500.0,1679.0
102,41.914844,8.725552,7152.777777777777,2017-01-06,515000.0,72.0
103,41.92651,8.735311,3244.2748091603053,2017-01-16,85000.0,26.2
104,41.847629,9.060098,1.28,2017-01-21,501.76,392.0
105,41.704311,9.375578,3306.847394250993,2017-01-19,141500.0,42.79
106,41.483906,9.061055,3922.222222222222,2017-01-18,353000.0,90.0
107,41.48373,9.061201,10382.35294117647,2017-01-18,353000.0,34.0
108,41.911281,8.707444,4793.582469184113,2017-01-02,245000.0,51.11
109,42.191677,8.851385,20.454545454545453,2017-01-12,900.0,44.0
110,41.979386,8.775206,1550.0,2017-01-04,310000.0,200.0
111,41.980351,8.774424,175.14124293785312,2017-01-04,310000.0,1770.0
112,41.981449,8.775104,2246.376811594203,2017-01-04,310000.0,138.0
113,41.980476,8.776232,160.3724780134506,2017-01-04,310000.0,1933.0
114,41.980962,8.777651,2743.362831858407,2017-01-04,310000.0,113.0
115,42.001938,9.047944,888.8888888888889,2017-01-27,32000.0,36.0
116,41.913127,8.720697,3500.0,2017-01-30,350000.0,100.0
117,42.002999,8.759789,104.2611060743427,2017-01-25,115000.0,1103.0
118,41.91679,8.738774,3968.253968253968,2017-01-27,200000.0,50.4
